INDEX,Y_Actual
9,67
10,71
14,79
47,89
60,111
63,74
74,110
83,81
98,95
120,82
123,65
135,97
138,97
140,97
151,93
153,82
171,64
184,102
193,57
213,87
217,84
226,59
230,88
241,57
291,71
294,70
300,31
348,64
350,70
357,66
367,88
368,99
372,109
382,88
388,77
396,87
398,89
403,98
407,89
410,86
412,96
414,89
436,7
440,112
476,99
479,71
481,90
501,77
503,78
506,79
519,90
522,92
550,76
554,84
566,64
578,78
596,99
599,94
605,72
607,82
614,102
644,66
692,80
699,83
700,99
716,98
721,61
722,81
729,82
731,74
746,92
763,92
774,78
776,96
788,83
789,89
792,100
811,74
835,95
837,76
861,89
862,87
863,84
871,76
879,98
887,80
892,87
904,71
909,78
925,89
940,74
951,110
976,62
981,99
983,104
984,90
989,105
995,75
1000,83
1001,87
1007,79
1016,77
1027,63
1033,80
1070,53
1081,79
1084,41
1098,76
1150,92
1160,40
1169,91
1172,92
1174,97
1176,90
1178,84
1184,75
1193,64
1196,62
1199,56
1207,102
1218,111
1223,59
1226,71
1227,56
1229,67
1241,80
1244,72
1246,69
1248,74
1249,90
1253,76
1261,109
1305,73
1314,88
1323,93
1328,85
1353,76
1363,67
1371,92
1372,69
1389,41
1393,71
1421,87
1431,80
1437,82
1442,58
1450,102
1463,73
1464,82
1470,77
1471,71
1484,64
1495,0
1507,53
1514,83
1526,68
1549,97
1552,66
1556,83
1564,79
1585,90
1586,100
1590,97
1591,108
1592,107
1603,99
1612,103
1634,90
1645,67
1647,76
1673,96
1674,102
1687,90
1688,96
1700,59
1708,82
1713,83
1717,55
1721,61
1730,88
1737,88
1748,81
1749,104
1763,103
1768,81
1778,78
1780,91
1782,28
1784,82
1794,96
1803,55
1804,88
1819,66
1832,64
1833,61
1844,48
1847,69
1854,81
1855,75
1857,73
1864,86
1865,87
1869,73
1880,89
1881,89
1882,90
1894,78
1896,68
1916,75
1918,66
1921,81
1926,83
1938,89
1979,44
1982,63
1987,100
1997,89
2004,96
2011,75
2015,86
2022,65
2025,69
2027,69
2031,72
2036,89
2066,68
2073,74
2087,76
2092,82
2125,90
2148,87
2162,100
2191,90
2203,101
2218,75
2221,75
2225,66
2232,75
2267,69
2291,64
2299,94
2317,110
2318,100
2353,74
2403,57
2411,76
2415,69
2424,86
2441,59
2464,80
2465,78
2472,41
2481,72
2487,18
2500,73
2501,79
2520,87
2521,94
2525,78
